town,lat,lon
adam park,1.3308981,103.8130156
adelphi park estate,1.3554954,103.8288822
admiralty,1.4406369,103.8009592
ah soo garden,1.350246,103.8837222
alexandra estate,1.2852455,103.8055831
anak bukit,1.3358173,103.7754302
ban guan park,1.3225338,103.7857257
bangkit,1.3800412,103.7726501
bedok garden,1.3229451,103.9528703
bencoolen,1.2987235,103.8502239
bin tong park,1.3204076,103.7982647
boon lay,1.3385504,103.7058124
braddell heights estate,1.3460203,103.8671978
brickworks estate,1.2869332,103.8075601
bright hill crescent,1.3555003,103.8330582
brizay park,1.3311328,103.7876891
bugis,1.299966,103.8552892
bukit merah estate,1.286265,103.8051601
bukit timah,1.3546901,103.7763724
bulim,1.3546676,103.7074683
buona vista,1.3066096,103.790751
caldecott hill estate,1.336164,103.8334553
camden park,1.3286291,103.8152546
central water catchment,1.3700592,103.8034477
chai chee estate,1.3282426,103.9171856
changi village,1.3893721,103.9887773
chia tong quah estate,1.4088551,104.0485831
choa chu kang new town,1.3794462,103.7338887
chong pang,1.4329813,103.8304429
coronation gardens,1.3234065,103.806354
dairy farm,1.3673043,103.7714351
delta estate,1.2923524,103.8288217
delta road,1.2908118,103.8263121
dover,1.3114155,103.7786108
dragon view park,1.2967779,103.8279836
dunearn estate,1.3257142,103.8241235
eden park,1.3304462,103.7922152
eunos,1.3198016,103.9028891
ewart park,1.3249026,103.7837698
faber garden,1.364113,103.8282292
faber hills,1.3206843,103.7582906
fajar,1.3845932,103.7708754
farrer park,1.3124743,103.8541424
fernhill gardens,1.3085088,103.8179136
frankel estate,1.3156647,103.9187087
fuyong estate,1.3593461,103.7684812
geylang,1.3181862,103.8870563
ghim moh,1.310558,103.7893244
hai sing park,1.2830012,103.8430703
happy gardens,22.278294,114.179578
harbourfront,1.265362,103.8215518
hillcrest park,1.3333395,103.8069977
holland drive,1.3094004,103.7928943
holland grove park,1.3175877,103.7838781
holland village,1.3117219,103.7960797
hong kah,1.3508928,103.7191772
hong kong park,1.3409427,103.785306
hun yeang,1.3665236,103.9262709
institution hill,1.2952326,103.8400431
jalan kayu,1.3976345,103.8731175
jelebu,1.3745804,103.7666288
johor,1.4467715,103.767901
jurong east,1.333108,103.7422939
jurong town,1.3375485,103.9439838
jurong west,1.3434392,103.7058663
kaki bukit estate,1.3327498,103.9045546
kallang,1.310759,103.866262
kampong amber,1.3004536,103.8995923
kampong bahru,1.4175875,103.9695481
kampong bugis,1.3073239,103.866136
kampong bukit panjang,1.3456415,103.788154
kampong chai chee,1.3304941,103.9322592
kampong changi,1.3897472,103.9865698
kampong eunos,1.3190065,103.906497
kampong ladang,1.4155835,104.0314814
kampong mamam,1.4174946,103.9758261
kampong melayu,1.4091348,103.9810448
kampong noordin,1.4182291,103.96564
kampong permatang,1.4155835,104.0314814
kampong salabin,1.4155835,104.0314814
kampong sultan,1.3028651,103.8598269
kampong teban,1.3808239,103.910521
kampong telok,1.2667088,103.8242874
kampong ubi,1.3299354,103.8970444
kembangan,1.3210321,103.9129269
kent ridge,1.2932225,103.7844338
kilburn estate,1.3388444,103.7843328
kim chuan,1.3414768,103.8881645
